turn,player_move,player_result,bot_move,bot_result,player_board,bot_board
"52","B1","miss","C7","miss","HHHHM..MMS|MMMMMMMM..|..MMM.MSMM|M.MSS.MMM.|MM.M.M.MM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|MMMS.MHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HM.SM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"53","F4","sunk","E7","miss","HHHHM..MMS|MMMMMMMM..|..MMM.MSMM|M.MSS.MMM.|MM.M.MMMM.|HM..MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHM..|MMMS.MHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"54","A9","miss","F3","miss","HHHHM..MMS|MMMMMMMM..|..MMM.MSMM|M.MSS.MMM.|MM.M.MMMM.|HMM.MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHMM.|MMMS.MHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"55","A10","miss","C1","miss","HHHHM..MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MM.M.MMMM.|HMM.MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHMMM|MMMS.MHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"56","B5","miss","A6","miss","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MM.M.MMMM.|HMM.MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M..MMMHMMM|MMMSMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"57","B4","sunk","I8","already","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MM.M.MMMM.|HMM.MMMMMM|MM..MHMMHM|.MS.MHMMHM|.MM.MMMMMM|SSSM.MMHHH","M.MMMMHMMM|MMMHMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM..M..M"
"58","J6","miss","H3","sunk","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MM.M.MMMM.|HMM.MMMMMM|MMMMMHMMHM|.MHMMHMMHM|.MMMMMMMMM|SSSM.MMHHH","M.MMMMHMMM|MMMHMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHM.MM..M"
"59","J5","miss","E3","miss","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MMMM.MMMM.|HMM.MMMMMM|MMMMMHMMHM|.MHMMHMMHM|.MMMMMMMMM|SSSM.MMHHH","M.MMMMHMMM|MMMHMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHMMMM..M"
"60","J9","miss","F9","already","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MMMM.MMMM.|HMM.MMMMMM|MMMMMHMMHM|.MHMMHMMHM|.MMMMMMMMM|SSSM.MMHHH","M.MMMMHMMM|MMMHMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHMMMM.MM"
"61","J8","miss","B5","already","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MMMM.MMMM.|HMM.MMMMMM|MMMMMHMMHM|.MHMMHMMHM|.MMMMMMMMM|SSSM.MMHHH","M.MMMMHMMM|MMMHMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHM.|MMHMMMMMMS|MMHMMMMMMM"
"62","I10","sunk","","","HHHHMM.MMS|MMMMMMMM..|M.MMM.MSMM|M.MSS.MMM.|MMMM.MMMM.|HMM.MMMMMM|MMMMMHMMHM|.MHMMHMMHM|.MMMMMMMMM|SSSM.MMHHH","M.MMMMHMMM|MMMHMMHMMM|MMMMMMHMHM|MMHHMMMMMM|HMMMMMMMMM|HMMHM.MHHM|HMMMMMMMMM|MMMMHHHHMM|MMHMMMMMMH|MMHMMMMMMM"
